"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-08-15 16:05:00",0,0,0,0,0,0,0,0
"2012-08-15 16:20:00",4.74,4.768,5.628,4.346,4.364,2.822,5.628,3.248
"2012-08-15 16:35:00",7.9,8.756,8.844,9.114,9.53,9.672,8.04,9.338
"2012-08-15 16:50:00",7.9,9.158,8.04,8.318,7.94,8.866,8.44,8.932
"2012-08-15 17:05:00",26.07,29.854,31.356,29.694,30.568,27.406,29.348,28.014
"2012-08-15 17:20:00",4.346,5.17,5.628,6.344,5.558,7.252,4.824,6.09
"2012-08-15 17:35:00",4.74,5.178,4.824,5.15,5.162,4.836,4.824,5.278
"2012-08-15 17:50:00",4.344,4.776,4.02,4.354,3.97,4.836,4.824,4.872
"2012-08-15 18:05:00",0.396,0,0.404,0.398,0.794,0.404,0,0.406
"2012-08-15 18:20:00",0,0,0,0,0,0,0,0
